Table 106,,,
"2015 Traffic Fatalities, by State and Percentage Change from 2014",,,
,,,
State,Fatalities,,
,2014,2015,"Percentage
Change"
Alabama,820,850,4
Alaska,73,65,-11
Arizona,773,897,16
Arkansas,470,550,17
California,"3,102","3,387",9
Colorado,488,547,12
Connecticut,248,270,9
Delaware,124,131,6
Dist of Columbia,23,23,0
Florida,"2,494","2,938",18
Georgia,"1,164","1,432",23
Hawaii,95,93,-2
Idaho,186,216,16
Illinois,924,998,8
Indiana,745,817,10
Iowa,322,320,-1
Kansas,385,355,-8
Kentucky,672,761,13
Louisiana,740,752,2
Maine,131,156,19
Maryland,442,520,18
Massachusetts,354,344,-3
Michigan,901,967,7
Minnesota,361,411,14
Mississippi,607,677,12
Missouri,766,870,14
Montana,192,224,17
Nebraska,225,246,9
Nevada,291,326,12
New Hampshire,95,114,20
New Jersey,556,561,1
New Mexico,386,298,-23
New York,"1,041","1,136",9
North Carolina,"1,284","1,379",7
North Dakota,135,131,-3
Ohio,"1,006","1,110",10
Oklahoma,669,645,-4
Oregon,357,446,25
Pennsylvania,"1,195","1,200",0
Rhode Island,51,45,-12
South Carolina,823,979,19
South Dakota,136,134,-1
Tennessee,963,962,0
Texas,"3,536","3,582",1
Utah,256,278,9
Vermont,44,57,30
Virginia,703,754,7
Washington,462,551,19
West Virginia,272,268,-1
Wisconsin,506,566,12
Wyoming,150,145,-3
National,"32,744","35,484",8
Puerto Rico,304,310,2
,,,
"Source: FARS 2014 Final, FARS 2015 Final",,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 11/15/2021 at 2:08 PM",,,
