Table 106,,,
"2016 Traffic Fatalities, by State and Percentage Change from 2015",,,
,,,
State,Fatalities,,
,2015,2016,"Percentage
Change"
Alabama,850,"1,083",27
Alaska,65,84,29
Arizona,897,952,6
Arkansas,550,561,2
California,"3,387","3,837",13
Colorado,547,608,11
Connecticut,270,304,13
Delaware,131,119,-9
Dist of Columbia,23,27,17
Florida,"2,938","3,176",8
Georgia,"1,432","1,556",9
Hawaii,93,120,29
Idaho,216,253,17
Illinois,998,"1,078",8
Indiana,817,829,1
Iowa,320,402,26
Kansas,355,429,21
Kentucky,761,834,10
Louisiana,752,757,1
Maine,156,160,3
Maryland,520,522,0
Massachusetts,344,387,13
Michigan,967,"1,065",10
Minnesota,411,392,-5
Mississippi,677,687,1
Missouri,870,947,9
Montana,224,190,-15
Nebraska,246,218,-11
Nevada,326,329,1
New Hampshire,114,136,19
New Jersey,561,602,7
New Mexico,298,405,36
New York,"1,136","1,041",-8
North Carolina,"1,379","1,450",5
North Dakota,131,113,-14
Ohio,"1,110","1,132",2
Oklahoma,645,687,7
Oregon,446,498,12
Pennsylvania,"1,200","1,188",-1
Rhode Island,45,51,13
South Carolina,979,"1,020",4
South Dakota,134,116,-13
Tennessee,962,"1,037",8
Texas,"3,582","3,797",6
Utah,278,281,1
Vermont,57,62,9
Virginia,754,760,1
Washington,551,536,-3
West Virginia,268,269,0
Wisconsin,566,607,7
Wyoming,145,112,-23
National,"35,484","37,806",7
Puerto Rico,310,279,-10
,,,
"Source: FARS 2015 Final, FARS 2016 Final",,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 11/15/2021 at 2:08 PM",,,
