Table 106,,,
"2019 Traffic Fatalities, by State and Percentage Change from 2018",,,
,,,
State,Fatalities,,
,2018,2019,"Percentage
Change"
Alabama,953,930,-2
Alaska,80,67,-16
Arizona,"1,011",981,-3
Arkansas,520,505,-3
California,"3,798","3,606",-5
Colorado,632,596,-6
Connecticut,293,249,-15
Delaware,111,132,19
Dist of Columbia,31,23,-26
Florida,"3,135","3,183",2
Georgia,"1,505","1,491",-1
Hawaii,117,108,-8
Idaho,234,224,-4
Illinois,"1,035","1,009",-3
Indiana,860,809,-6
Iowa,319,336,5
Kansas,405,411,1
Kentucky,724,732,1
Louisiana,771,727,-6
Maine,136,157,15
Maryland,512,521,2
Massachusetts,355,334,-6
Michigan,977,985,1
Minnesota,381,364,-4
Mississippi,663,643,-3
Missouri,921,880,-4
Montana,181,184,2
Nebraska,230,248,8
Nevada,329,304,-8
New Hampshire,147,101,-31
New Jersey,563,559,-1
New Mexico,392,424,8
New York,964,931,-3
North Carolina,"1,436","1,373",-4
North Dakota,105,100,-5
Ohio,"1,068","1,153",8
Oklahoma,655,640,-2
Oregon,502,489,-3
Pennsylvania,"1,190","1,059",-11
Rhode Island,59,57,-3
South Carolina,"1,036","1,001",-3
South Dakota,130,102,-22
Tennessee,"1,040","1,135",9
Texas,"3,648","3,615",-1
Utah,260,248,-5
Vermont,68,47,-31
Virginia,820,831,1
Washington,539,519,-4
West Virginia,294,260,-12
Wisconsin,589,566,-4
Wyoming,111,147,32
National,"36,835","36,096",-2
Puerto Rico,308,289,-6
,,,
"Source: FARS 2018 Final, FARS 2019 ARF",,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 11/15/2021 at 2:08 PM",,,
