Table 106,,,
"2014 Traffic Fatalities, by State and Percentage Change from 2013",,,
,,,
State,Fatalities,,
,2013,2014,"Percentage
Change"
Alabama,853,820,-4
Alaska,51,73,43
Arizona,849,773,-9
Arkansas,498,470,-6
California,"3,107","3,102",0
Colorado,482,488,1
Connecticut,286,248,-13
Delaware,99,124,25
Dist of Columbia,20,23,15
Florida,"2,403","2,494",4
Georgia,"1,180","1,164",-1
Hawaii,102,95,-7
Idaho,214,186,-13
Illinois,991,924,-7
Indiana,784,745,-5
Iowa,317,322,2
Kansas,350,385,10
Kentucky,638,672,5
Louisiana,703,740,5
Maine,144,131,-9
Maryland,465,442,-5
Massachusetts,351,354,1
Michigan,947,901,-5
Minnesota,387,361,-7
Mississippi,613,607,-1
Missouri,757,766,1
Montana,229,192,-16
Nebraska,211,225,7
Nevada,266,291,9
New Hampshire,135,95,-30
New Jersey,542,556,3
New Mexico,311,386,24
New York,"1,202","1,041",-13
North Carolina,"1,290","1,284",0
North Dakota,148,135,-9
Ohio,989,"1,006",2
Oklahoma,678,669,-1
Oregon,313,357,14
Pennsylvania,"1,210","1,195",-1
Rhode Island,65,51,-22
South Carolina,767,823,7
South Dakota,135,136,1
Tennessee,995,963,-3
Texas,"3,389","3,536",4
Utah,220,256,16
Vermont,69,44,-36
Virginia,740,703,-5
Washington,436,462,6
West Virginia,332,272,-18
Wisconsin,543,506,-7
Wyoming,87,150,72
National,"32,893","32,744",0
Puerto Rico,344,304,-12
,,,
"Source: FARS 2013 Final, FARS 2014 Final",,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 11/15/2021 at 2:08 PM",,,
