Table 106,,,
"2017 Traffic Fatalities, by State and Percentage Change from 2016",,,
,,,
State,Fatalities,,
,2016,2017,"Percentage
Change"
Alabama,"1,083",948,-12
Alaska,84,79,-6
Arizona,952,998,5
Arkansas,561,525,-6
California,"3,837","3,884",1
Colorado,608,648,7
Connecticut,304,281,-8
Delaware,119,119,0
Dist of Columbia,27,31,15
Florida,"3,176","3,116",-2
Georgia,"1,556","1,540",-1
Hawaii,120,107,-11
Idaho,253,245,-3
Illinois,"1,078","1,090",1
Indiana,829,916,10
Iowa,402,330,-18
Kansas,429,461,7
Kentucky,834,782,-6
Louisiana,757,770,2
Maine,160,173,8
Maryland,522,558,7
Massachusetts,387,347,-10
Michigan,"1,065","1,031",-3
Minnesota,392,358,-9
Mississippi,687,685,0
Missouri,947,932,-2
Montana,190,186,-2
Nebraska,218,228,5
Nevada,329,311,-5
New Hampshire,136,102,-25
New Jersey,602,624,4
New Mexico,405,380,-6
New York,"1,041","1,006",-3
North Carolina,"1,450","1,412",-3
North Dakota,113,116,3
Ohio,"1,132","1,179",4
Oklahoma,687,657,-4
Oregon,498,439,-12
Pennsylvania,"1,188","1,137",-4
Rhode Island,51,84,65
South Carolina,"1,020",989,-3
South Dakota,116,129,11
Tennessee,"1,037","1,024",-1
Texas,"3,797","3,732",-2
Utah,281,273,-3
Vermont,62,69,11
Virginia,760,839,10
Washington,536,563,5
West Virginia,269,304,13
Wisconsin,607,613,1
Wyoming,112,123,10
National,"37,806","37,473",-1
Puerto Rico,279,290,4
,,,
"Source: FARS 2016 Final, FARS 2017 Final",,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 11/15/2021 at 2:08 PM",,,
